Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Gostinstvo;inženir gostinstva, organizator poslovanja v gostinstvu;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Gostinstvo in turizem;organizator poslovanja v gostinstvu in turizmu;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Gozdar;gozdar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdar;gozdar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdar, A - gozdar;gozdar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdar, B - gozdarski tehnik;gozdarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdarski delavec - drevesničar (USO II);gozdarski delavec - drevesničar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdarski delavec - gojitelj (USO II);gozdarski delavec - gojitelj;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdarski delavec - sekač (USO II);gozdarski delavec - sekač;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdarski tehnik;gozdarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo;diplomirani inženir gozdarstva (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo;gozdarski inženir;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo;inženir gozdarstva;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo;univerzitetni diplomirani inženir gozdarstva;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo in gospodarjenje z gozdnimi viri;diplomirani inženir gozdarstva;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo in gospodarjenje z gozdnimi viri;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo in gospodarjenje z gozdnimi viri;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo in lovstvo;inženir gozdarstva in lovstva;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo in obnovljivi gozdni viri;diplomirani inženir gozdarstva (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo in upravljanje gozdnih ekosistemov;magister inženir gozdarstva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo, A - gozdar;gozdar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo, B - gozdarski tehnik;gozdarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo, gozdar;gozdar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0821";Gozdarstvo in lov;Forestry;
Gozdarstvo, kmet-gozdar;kmet-gozdar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0811";Poljedelstvo in reja živali;Crop and livestock production;
Gradbena informatika;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0732";Gradbeništvo;Building and civil engineering;
Gradbena informatika;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0732";Gradbeništvo;Building and civil engineering;
Gradbena mehanizacija;strojnik gradbene mehanizacije;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbeni delovodja;gradbeni delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbeni miner;gradbeni miner;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbeni tehnik;gradbeni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbeni tehnik za nizke gradnje;gradbeni tehnik za nizke gradnje;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbeni tehnik za visoke gradnje;gradbeni tehnik za visoke gradnje;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;diplomirani inženir gradbeništva;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;diplomirani inženir gradbeništva (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;diplomirani inženir gradbeništva (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;gradbeni inženir;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;inženir gradbeništva;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;inženir gradbeništva;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;magister inženir gradbeništva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0732";Gradbeništvo;Building and civil engineering;
Gradbeništvo;univerzitetni diplomirani inženir gradbeništva;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0732";Gradbeništvo;Building and civil engineering;
Gradbinec;gradbinec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I, A - manj zahtevna gradbena dela;manj zahtevna gradbena dela;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I, B - asfalter;asfalter;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I., betoner;betoner;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I., izdelovalec gradbenih elementov;izdelovalec gradbenih elementov;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I., kamnoseški delavec;kamnoseški delavec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I., komunalni delavec;komunalni delavec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="1021";Javna higiena in komunalne storitve;Community sanitation;
Gradbinec I., krivilec armature;krivilec armature;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I., polagalec asfalta;polagalec asfalta;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I., polagalec keramičnih oblog;polagalec keramičnih oblog;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I., tesar opažev;tesar opažev;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I., vodogradbeni delavec;vodogradbeni delavec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec I., zidar za zidanje in ometavanje;zidar za zidanje in ometavanje;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II, A - kamnosek;kamnosek;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II, B - polagalec keramike in pečar;polagalec keramike in pečar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II, C - gradbinec;gradbinec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II, Č - izolater;izolater;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II, D - gradbeni tehnik;gradbeni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II., cementninar;cementninar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II., gradbinec za progovna dela;gradbinec za progovna dela;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II., komunalec;komunalec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II., monter gradbenih konstrukcij;monter gradbenih konstrukcij;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II., tesar;tesar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II., vodogradbenik;vodogradbenik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II., zidar;zidar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradbinec II., železokrivec;železokrivec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradnja, A - gradbinec I;gradbinec I;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradnja, A - kamnosek;kamnosek;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradnja, B - pečar;pečar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradnja, B - upravljalec lahke gradbene mehanizacije;upravljalec lahke gradbene mehanizacije;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradnja, C - gradbinec II;gradbinec II;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradnja, Č - izolater;izolater;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradnja, D - strojnik gradbene mehanizacije;strojnik gradbene mehanizacije;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Gradnja, E - gradbeni tehnik;gradbeni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Grafičar;grafičar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafičar, A - stavec;stavec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafičar, B - reprograf;reprograf;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafičar, C - tiskar;tiskar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafičar, Č - knjigovez;knjigovez;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafičar, D - kartonažer;kartonažer;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafičar, E - grafični tehnik izdelave tiskovne forme;grafični tehnik izdelave tiskovne forme;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafičar, F - grafični tehnik tiska in dodelave;grafični tehnik tiska in dodelave;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafična in medijska tehnika;diplomant grafične in medijske tehnike (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafična tehnika;diplomirani inženir grafične tehnike;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafične in interaktivne komunikacije;diplomant grafičnih komunikacij (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafične in interaktivne komunikacije;diplomirani grafični inženir (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafične in interaktivne komunikacije;magister grafični inženir;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafični operater;grafični operater;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafični tehnik;grafični tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Grafika;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0213";Likovna umetnost;Fine arts;
Grafika;specialist za grafiko;;18101;Specialistično izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0213";Likovna umetnost;Fine arts;
Grajeno okolje;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0732";Gradbeništvo;Building and civil engineering;
Graver;graver;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Grški jezik in književnost - dvopredmetni;profesor grščine in …;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Grški jezik s književnostjo;predmetni učitelj grščine;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Grški jezik, književnost in kultura;diplomant grškega jezika, književnosti in kulture (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Grški jezik, književnost in kultura;magister grškega jezika, književnosti in kulture in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Grški jezik, književnost in kultura;magister profesor grškega jezika, književnosti in kulture in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Gumar;gumar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumar - izdelovalec pnevmatike;gumar - izdelovalec pnevmatike;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumar - izdelovalec tehničnih izdelkov;gumar - izdelovalec tehničnih izdelkov;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumar - izdelovalec tehniških izdelkov;gumar - izdelovalec tehniških izdelkov;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumar, A - gumar;gumar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumar, B - izdelovalec upogljivih laminatov;izdelovalec upogljivih laminatov;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumar, C - gumarski tehnik;gumarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumarska dejavnost, A - gumar;gumar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumarska dejavnost, B - gumarski tehnik;gumarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumarska tehnologija;inženir gumarske tehnologije;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumarski delavec (USO I);gumarski delavec;;12099;Osnovnošolsko izobraževanje višje stopnje/osnovnošolska izobrazba, drugje nerazporejeno;Second stage of basic education/Basic education, not elsewhere classified;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumarski delovodja;gumarski delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Gumarski tehnik;gumarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Hidrotehnični delavec;hidrotehnični delavec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Hispanistika;magister hispanistike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
