Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Brizganje lakov (USO II);brizgalec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Brusilec;brusilec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Brusilec kristalnega stekla;brusilec kristalnega stekla;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Cementninar;cementninar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Cerkvena glasba;akademski cerkveni glasbenik;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Cestni promet;voznik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1041";Transport;Transport services;
Cestni promet, A - voznik avtomehanik;voznik avtomehanik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Cestni promet, B - cestnoprometni tehnik;cestnoprometni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1041";Transport;Transport services;
Civilno in gospodarsko pravo;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0421";Pravo;Law;
Civilno in gospodarsko pravo;magister civilnega in gospodarskega prava;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0421";Pravo;Law;
Civilno in gospodarsko pravo;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0421";Pravo;Law;
Cizeler;cizeler;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Cvetlièar;cvetlièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0812";Hortikultura;Horticulture;
Èeški jezik in književnost;diplomirani bohemist (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Èeški jezik in književnost;magister èeškega jezika in književnosti in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Èeški jezik in književnost - dvopredmetni;univerzitetni diplomirani bohemist in …;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Èevljar;èevljar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Èevljarski tehnik;èevljarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Èipkarstvo;èipkar(ica);;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0214";Domaèa in umetnostna obrt (unikatni, umetniški izdelki);Handicrafts;
Èistilec objektov;èistilec objektov;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Èistilec oken (USO II);èistilec oken;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Èistilec prostorov (USO I);èistilec prostorov;;12099;Osnovnošolsko izobraževanje višje stopnje/osnovnošolska izobrazba, drugje nerazporejeno;Second stage of basic education/Basic education, not elsewhere classified;="1011";Storitve za gospodinjstva;Domestic services;
Èlovekove pravice in demokratizacija;magister èlovekovih pravic in demokratizacije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0312";Politologija, odnosi posameznik-družba-država;Political sciences and civics;
Èrkoslikar;èrkoslikar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Daljinsko vodenje;magister inženir daljinskega vodenja;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0714";Elektronika in avtomatizacija;Electronics and automation;
Davèno pravo;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0421";Pravo;Law;
Davèno pravo;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0421";Pravo;Law;
Dedišèina Evrope in Sredozemlja;diplomirani dedišèinar (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0222";Zgodovina in arheologija;History and archaeology;
Dedišèina Evrope in Sredozemlja;diplomirani dedišèinar (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0222";Zgodovina in arheologija;History and archaeology;
Dedišèinski in kulinarièni turizem;diplomirani organizator trajnostnega turizma (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="1015";Potovanja, turizem, prosti èas;Travel, tourism and leisure;
Dedišèinski turizem;magister dedišèinskega turizma;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="1015";Potovanja, turizem, prosti èas;Travel, tourism and leisure;
Delavec za glinokope, peskokope in kamnolome;delavec za glinokope, peskokope in kamnolome;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Delovna terapija;diplomirani delovni terapevt;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0915";Terapija in rehabilitacija;Therapy and rehabilitation;
Delovna terapija;diplomirani delovni terapevt (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0915";Terapija in rehabilitacija;Therapy and rehabilitation;
Delovna terapija;višji delovni terapevt;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0915";Terapija in rehabilitacija;Therapy and rehabilitation;
Delovno pravo in kadri;magister delovnega prava in kadrov;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0421";Pravo;Law;
Delovno pravo in pravo socialne varnosti;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0421";Pravo;Law;
Delovno pravo in pravo socialne varnosti;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0421";Pravo;Law;
Delovodja v gradbeništvu, A - gradbeni delovodja;gradbeni delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Delovodja v gradbeništvu, B - delovodja zakljuènih dejavnosti;delovodja zakljuènih dejavnosti;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Delovodja v gradbeništvu, B - delovodja zakljuènih gradbenih del;delovodja zakljuènih gradbenih del;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Delovodja v gradbeništvu, C - dimnikarski delovodja;dimnikarski delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Delovodja v gradbeništvu, delovodja zakljuènih gradbenih del;delovodja zakljuènih gradbenih del;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Delovodja v gradbeništvu, dimnikarski delovodja;dimnikarski delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Delovodja v gradbeništvu, gradbeni delovodja;gradbeni delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Delovodski izpit;delovodja v elektroenergetiki;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Delovodski izpit;gradbeni delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Delovodski izpit;živilski delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0721";Živilska tehnologija;Food processing;
Denar in finance;magister ekonomskih ved;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0311";Ekonomija;Economics;
Dentalna medicina;doktor dentalne medicine;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0911";Zobozdravstvo;Dental studies;
Dentalna medicina;doktor dentalne medicne;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0911";Zobozdravstvo;Dental studies;
Dietetika;magister dietetike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0915";Terapija in rehabilitacija;Therapy and rehabilitation;
Digitalna humanistika;magister digitalne humanistike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Digitalne umetnosti in prakse;diplomant digitalnih umetnosti in praks (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Digitalni marketing;diplomant digitalnega marketinga (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0414";Marketing in oglaševanje;Marketing and advertising;
Dimnikar;dimnikar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Dimnikar;dimnikar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Dimnikarski delovodja;dimnikarski delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Dimnikarstvo;dimnikar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Diplomacija;magister diplomacije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0312";Politologija, odnosi posameznik-družba-država;Political sciences and civics;
Dirigiranje;akademski glasbenik;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dirigiranje;glasbenik dirigent;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dirigiranje;specialist dirigent;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dirigiranje, petje, instrument;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dirigiranje, petje, instrument;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dizajn;diplomirani dizajner (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Dizajn;magister dizajna;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Dizajn inženiring;diplomirani inženir dizajn inženiringa (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Dodelovalec obutve;dodelovalec obutve;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Doktorska šola Fakultete za strojništvo;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Dramaturgija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0299";Umetnost in humanistika, drugo;Arts and humanities not elsewhere classified;
Dramaturgija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0299";Umetnost in humanistika, drugo;Arts and humanities not elsewhere classified;
Dramaturgija;univerzitetni diplomirani dramaturg;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dramaturgija in scenske umetnosti;diplomant dramaturgije in scenske umetnosti (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dramaturgija in scenske umetnosti;magister dramaturgije in scenskih umetnosti;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dramska igra;diplomirani dramski igralec (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dramska igra;magister igre;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dramska igra;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dramska igra;univerzitetni diplomirani igralec specialist;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Dramska igra in umetniška beseda;univerzitetni diplomirani igralec;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Družbene študije znanosti in tehnologije;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Družbene študije znanosti in tehnologije;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Družbeno ekonomske vede;predmetni uèitelj družbeno ekonomske vede;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Družbeno moralna vzgoja;predmetni uèitelj za družbeno moralno vzgojo;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Družbeno moralna vzgoja in biologija;predmetni uèitelj za družbeno moralno vzgojo in biologijo;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Družbeno moralna vzgoja in geografija;predmetni uèitelj za družbeno moralno vzgojo in geografijo;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Družbeno moralna vzgoja in slovenšèina;predmetni uèitelj za družbeno moralno vzgojo in slovenšèino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Družbeno moralna vzgoja in tehnièni pouk;predmetni uèitelj za družbeno moralno vzgojo in tehnièni pouk;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Družbeno moralna vzgoja in zemljepis;predmetni uèitelj za družbeno moralno vzgojo in zemljepis;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Družbeno moralna vzgoja in zgodovina;predmetni uèitelj za družbeno moralno vzgojo in zgodovino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Družboslovna informatika;diplomant družboslovne informatike (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Družboslovna informatika;diplomant družboslovne informatike (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Družboslovna informatika;diplomirani družboslovni informatik;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Družboslovna informatika;diplomirani družboslovni informatik (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Družboslovna informatika;magister družboslovne informatike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Družboslovni in kulturni, A - klasièno-humanistièna smer;nedoloèeno;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Družboslovni in kulturni, B - splošna smer;nedoloèeno;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Družboslovno-jezikovna dejavnost;nedoloèeno;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Družboslovno-jezikovna dejavnost, A - družboslovna;družboslovna;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Družboslovno-jezikovna dejavnost, A - družboslovno-jezikovna smer;nedoloèeno;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Družboslovno-jezikovna dejavnost, B - jezikovna;jezikovna;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Družboslovno-jezikovna dejavnost, B - klasièno-humanistièna smer;nedoloèeno;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Državne in evropske študije;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
Državne in evropske študije;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0488";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno poslovne in upravne vede, pravo;Inter-disciplinary programmes and qualifications involving business, administration and law;
